"station1", "station2", "line", "distance ", "time" 
95, 123, 11, 2.19643, 4.64308
95, 224, 11, 3.15, 4.25
107, 192, 11, 1.14, 1.96667
107, 273, 11, 1.57702, 3.49561
123, 145, 11, 2.33688, 4.98132
192, 277, 11, 1.20667, 2.6465
198, 272, 11, 0.8, 1.4
198, 273, 11, 1.19, 2.18333
224, 260, 11, 1.43658, 3.04814
245, 272, 11, 1.77, 2.23333
13, 279, 12, 2.37, 4.2
4, 70, 13, 1.51971, 3.43843
4, 201, 13, 0.808392, 2.00171
13, 225, 13, 2.73162, 5.76256
19, 97, 13, 1.14839, 2.56319
20, 65, 13, 0.800554, 1.92492
20, 217, 13, 1.05449, 2.26402
27, 79, 13, 0.684539, 1.66154
27, 201, 13, 1.23135, 2.63411
32, 70, 13, 0.883275, 1.94603
32, 204, 13, 1.31603, 2.90604
42, 120, 13, 0.681572, 1.55781
42, 292, 13, 0.648469, 1.54613
43, 79, 13, 1.25731, 2.85819
43, 219, 13, 1.36311, 3.05715
61, 171, 13, 0.856467, 2.00499
61, 238, 13, 1.08429, 2.60849
63, 203, 13, 0.892291, 2.22241
63, 219, 13, 1.12185, 2.63081
64, 106, 13, 0.874042, 1.87236
64, 135, 13, 0.598824, 1.51093
65, 97, 13, 0.904719, 2.13456
69, 86, 13, 0.71854, 1.83476
69, 106, 13, 1.08975, 2.29429
86, 152, 13, 0.805626, 1.88111
120, 238, 13, 0.498015, 1.27789
135, 171, 13, 0.688384, 1.4788
155, 225, 13, 1.33091, 2.84924
155, 284, 13, 1.33457, 3.00651
201, 284, 13, 0.795621, 1.89531
201, 292, 13, 0.533896, 1.30625
203, 217, 13, 1.30486, 2.76332
204, 247, 13, 1.28045, 2.66468
225, 262, 13, 1.56868, 3.43307
284, 292, 13, 0.915513, 2.17829
95, 160, 10, 1.38322, 2.89966
43, 304, 13, 1.79174, 3.93668
